Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),Time
2019-08-18 20:00,23.4,23.4,100.0,16.0,10.0,100.02,20.0
2019-08-18 21:00,23.2,23.2,100.0,17.0,20.0,99.97,21.0
2019-08-18 22:00,23.1,23.1,100.0,18.0,20.0,99.98,22.0
2019-08-18 23:00,22.8,22.8,100.0,18.0,17.0,100.0,23.0
2019-08-19 00:00,22.6,22.5,100.0,19.0,18.0,100.0,0.0
2019-08-19 01:00,22.5,22.5,100.0,17.0,16.0,99.91,1.0
2019-08-19 02:00,22.5,22.5,100.0,17.0,23.0,99.89,2.0
2019-08-19 03:00,22.0,21.9,100.0,20.0,6.0,99.94,3.0
2019-08-19 04:00,22.3,22.2,100.0,21.0,16.0,99.94,4.0
2019-08-19 05:00,22.4,21.9,97.0,22.0,22.0,99.99,5.0
2019-08-19 06:00,21.6,21.6,100.0,21.0,22.0,100.07,6.0
2019-08-19 07:00,21.9,21.9,100.0,21.0,18.0,100.14,7.0
2019-08-19 08:00,22.4,22.4,100.0,24.0,14.0,100.18,8.0
2019-08-19 09:00,24.0,22.4,91.0,24.0,15.0,100.21,9.0
2019-08-19 10:00,24.4,21.7,85.0,23.0,16.0,100.25,10.0
2019-08-19 11:00,25.5,20.8,75.0,23.0,20.0,100.26,11.0
2019-08-19 12:00,27.2,19.9,65.0,22.0,20.0,100.23,12.0
2019-08-19 13:00,26.5,19.8,67.0,23.0,25.0,100.23,13.0
2019-08-19 14:00,26.9,19.8,65.0,23.0,25.0,100.23,14.0
2019-08-19 15:00,26.9,18.5,60.0,23.0,30.0,100.23,15.0
2019-08-19 16:00,26.5,18.6,62.0,24.0,29.0,100.26,16.0
2019-08-19 17:00,26.2,13.3,45.0,24.0,28.0,100.27,17.0
2019-08-19 18:00,25.3,10.1,39.0,25.0,19.0,100.28,18.0
2019-08-19 19:00,23.0,10.5,45.0,27.0,10.0,100.35,19.0
2019-08-19 20:00,21.3,10.2,49.0,25.0,8.0,100.43,20.0
2019-08-19 21:00,20.2,10.3,53.0,26.0,10.0,100.53,21.0
2019-08-19 22:00,19.3,10.0,55.0,26.0,9.0,100.58,22.0
2019-08-19 23:00,18.7,10.0,57.0,25.0,11.0,100.62,23.0
2019-08-20 00:00,17.5,10.0,61.0,25.0,4.0,100.65,0.0
2019-08-20 01:00,16.7,10.6,67.0,25.0,9.0,100.67,1.0
2019-08-20 02:00,15.8,10.3,70.0,26.0,8.0,100.7,2.0
2019-08-20 03:00,13.6,10.6,82.0,28.0,8.0,100.71,3.0
2019-08-20 04:00,14.0,11.3,83.0,27.0,12.0,100.74,4.0
2019-08-20 05:00,13.5,11.7,89.0,28.0,10.0,100.78,5.0
2019-08-20 06:00,13.6,12.4,92.0,29.0,5.0,100.83,6.0
2019-08-20 07:00,15.9,12.6,81.0,32.0,5.0,100.83,7.0
2019-08-20 08:00,19.0,13.3,70.0,0.0,1.0,100.83,8.0
2019-08-20 09:00,20.9,12.1,57.0,33.0,3.0,100.8,9.0
2019-08-20 10:00,21.8,13.3,59.0,17.0,12.0,100.79,10.0
2019-08-20 11:00,22.6,13.9,58.0,17.0,18.0,100.75,11.0
2019-08-20 12:00,24.4,10.2,41.0,19.0,19.0,100.81,12.0
2019-08-20 13:00,23.5,13.7,54.0,18.0,22.0,100.75,13.0
2019-08-20 14:00,23.9,14.6,56.0,19.0,18.0,100.71,14.0
2019-08-20 15:00,24.0,15.9,61.0,18.0,18.0,100.63,15.0
2019-08-20 16:00,24.4,16.3,61.0,18.0,19.0,100.56,16.0
2019-08-20 17:00,24.1,15.5,58.0,17.0,14.0,100.48,17.0
2019-08-20 18:00,23.5,16.9,66.0,17.0,13.0,100.47,18.0
2019-08-20 19:00,22.5,18.3,77.0,14.0,11.0,100.41,19.0
2019-08-20 20:00,22.3,16.7,70.0,12.0,6.0,100.41,20.0
2019-08-20 21:00,21.6,17.1,76.0,10.0,5.0,100.37,21.0
2019-08-20 22:00,22.4,16.9,71.0,12.0,8.0,100.33,22.0
2019-08-20 23:00,23.0,21.3,90.0,16.0,11.0,100.29,23.0
2019-08-21 00:00,23.1,21.7,92.0,16.0,9.0,100.24,0.0
2019-08-21 01:00,23.3,21.8,91.0,17.0,17.0,100.16,1.0
2019-08-21 02:00,23.2,22.1,94.0,18.0,16.0,100.12,2.0
2019-08-21 03:00,22.9,22.7,99.0,19.0,11.0,100.07,3.0
2019-08-21 04:00,22.6,22.6,100.0,17.0,8.0,99.99,4.0
2019-08-21 05:00,22.6,22.6,100.0,19.0,14.0,99.99,5.0
2019-08-21 06:00,22.8,21.7,94.0,30.0,10.0,100.06,6.0
2019-08-21 07:00,20.6,20.6,100.0,33.0,16.0,100.09,7.0
2019-08-21 08:00,20.4,20.4,100.0,12.0,1.0,100.05,8.0
2019-08-21 09:00,21.7,21.7,100.0,12.0,12.0,100.02,9.0
2019-08-21 10:00,23.0,21.9,93.0,18.0,9.0,100.01,10.0
2019-08-21 11:00,23.8,20.9,84.0,19.0,21.0,99.96,11.0
2019-08-21 12:00,23.9,22.8,94.0,18.0,22.0,100.01,12.0
2019-08-21 13:00,25.2,23.3,89.0,19.0,23.0,100.02,13.0
2019-08-21 14:00,25.0,21.8,82.0,18.0,23.0,99.9,14.0
2019-08-21 15:00,25.4,19.8,71.0,19.0,22.0,99.87,15.0
2019-08-21 16:00,24.0,21.4,85.0,19.0,24.0,99.85,16.0
2019-08-21 17:00,23.9,22.6,92.0,19.0,19.0,99.83,17.0
2019-08-21 18:00,23.3,23.1,99.0,18.0,20.0,99.74,18.0
2019-08-21 19:00,22.8,22.8,100.0,19.0,18.0,99.76,19.0
2019-08-21 20:00,22.6,22.6,100.0,20.0,15.0,99.81,20.0
2019-08-21 21:00,22.7,22.7,100.0,22.0,9.0,99.78,21.0
2019-08-21 22:00,23.4,23.4,100.0,21.0,15.0,99.74,22.0
2019-08-21 23:00,23.8,23.4,98.0,23.0,15.0,99.75,23.0
